id,struct_id,pka_level,value,pka_type
5087,2755,pKa1,7.01,b
7183,4353,pKa2,7.88,b
4487,2473,pKa2,8.03,b
6797,4061,pKa1,9.15,b
5547,3011,pKa1,12.37,a
4249,2374,pKa1,1.57,a
2020,1123,pKa27,11.25,b
3605,2004,pKa1,12.77,a
2202,1236,pKa3,2.46,a
7876,4822,pKa2,13.69,a
4715,2566,pKa4,12.97,a
40,37,pKa1,11.55,a
6607,3793,pKa1,9.3,b
5624,3069,pKa4,13.12,a
6559,3747,pKa2,3.55,b
6577,3766,pKa1,8.99,b
277,159,pKa2,11.41,a
4550,2502,pKa2,2.88,b
1142,634,pKa1,8.29,a
742,433,pKa1,9.31,b
4696,2556,pKa2,9.48,a
4521,2487,pKa2,5.28,a
8156,4931,pKa32,10.3,b
4381,2423,pKa1,4.41,a
7435,4516,pKa2,4.08,a
302,174,pKa2,12.51,a
5108,2770,pKa1,2.98,b
4531,2494,pKa4,0.66,b
8356,5188,pKa2,6.03,b
7742,4732,pKa1,5.05,a
6661,3832,pKa3,2.45,b
485,278,pKa2,10.12,a
474,274,pKa2,4.74,b
4963,2676,pKa2,8.48,a
2373,1325,pKa7,12.79,a
5514,2994,pKa23,13.7,a
7324,4429,pKa10,12.77,a
1823,1010,pKa34,13.8,a
1741,990,pKa2,10.94,b
4085,2277,pKa1,9.12,b
3086,1746,pKa3,0.0,b
1283,711,pKa3,2.31,b
7399,4508,pKa4,8.71,b
8706,5299,pKa6,10.7,b
4297,2387,pKa6,4.27,b
5707,3131,pKa1,7.5,b
6391,3604,pKa2,8.29,a
297,172,pKa1,7.1,b
5516,2994,pKa25,13.89,a
