id,doid,source,xref
576438,DOID:4372,UMLS_CUI,C0752140
562379,DOID:3856,ICD9CM,187.9
547134,DOID:6297,UMLS_CUI,C0341110
556328,DOID:4419,NCI,C6492
553033,DOID:3327,SNOMEDCT_US_2019_09_01,82401000
552125,DOID:7437,UMLS_CUI,C1519862
551404,DOID:2748,MESH,D006010
558690,DOID:2176,ICD9CM,680.9
549269,DOID:1339,OMIM,612562
554003,DOID:2476,ICD9CM,334.1
543705,DOID:0050157,NCI,C62586
573918,DOID:2155,NCI,C4514
574706,DOID:0111144,OMIM,610504
572331,DOID:2615,MESH,D010212
544084,DOID:14524,ICD9CM,331.2
549882,DOID:9503,ICD10CM,J82
560377,DOID:0080472,OMIM,617711
561983,DOID:397,ORDO,75249
563900,DOID:9589,ICD9CM,594.2
570763,DOID:10323,MESH,D002095
563519,DOID:3602,MESH,D020258
569689,DOID:0110594,ICD10CM,Q34.8
552146,DOID:4679,NCI,C5166
548637,DOID:0111270,SNOMEDCT_US_2019_09_01,40873003
543798,DOID:14711,OMIM,300321
544629,DOID:9993,UMLS_CUI,C0020615
554038,DOID:1134,ICD10CM,K06.0
547204,DOID:0110851,OMIM,215100
558301,DOID:3798,SNOMEDCT_US_2019_09_01,58554001
545338,DOID:13585,ICD10CM,M27.3
558623,DOID:14415,SNOMEDCT_US_2019_09_01,240241003
550092,DOID:1307,ICD9CM,290.8
552751,DOID:0060471,SNOMEDCT_US_2019_09_01,17231009
572385,DOID:5603,UMLS_CUI,C0023493
562118,DOID:5419,NCI,C3362
564959,DOID:813,UMLS_CUI,C0157849
570252,DOID:6514,NCI,C39987
558982,DOID:4378,MESH,D021183
571340,DOID:2392,SNOMEDCT_US_2019_09_01,72815004
555625,DOID:854,NCI,C27204
565674,DOID:11277,ICD10CM,E05.2
574847,DOID:0060464,ORDO,1305
549046,DOID:2174,SNOMEDCT_US_2019_09_01,371486001
552760,DOID:3737,MESH,D018289
570665,DOID:1612,ICD10CM,C50
550961,DOID:11247,NCI,C2992
567339,DOID:11701,MESH,D017098
552326,DOID:6641,UMLS_CUI,C1334303
572091,DOID:0080041,UMLS_CUI,C0410529
