id,appl_type,appl_no,product_no,exclusivity_code,exclusivity_date
24099,N,021290,001,ODE*,2024-09-05
24881,N,209806,002,M-275,2024-09-17
25314,N,214622,002,NCE,2026-05-28
25739,A,209710,002,PC,2023-09-08
25512,N,209899,001,I-860,2024-05-27
24609,N,208082,002,M-54,2024-06-24
24142,N,021880,001,ODE-131,2024-02-22
25912,N,204114,001,PED,2024-12-22
25799,N,213051,003,M-252,2023-01-16
24983,N,212306,003,ODE*,2026-07-03
25048,A,216295,001,CGT,2023-03-08
25613,N,211349,001,ODE-222,2025-11-28
25694,N,213969,002,NCE,2025-11-20
25119,N,214938,003,ODE-387,2028-11-19
25463,N,215256,004,NP,2024-06-04
24772,N,208692,002,I-873,2024-09-17
25058,N,216986,004,NCE,2027-09-21
25589,N,215358,002,ODE-381,2028-10-29
24961,N,208623,001,NCE,2023-08-10
25128,N,215866,002,NCE,2027-05-13
25486,N,211675,002,I-883,2025-01-14
24208,N,022567,003,M-254,2023-01-31
25341,N,214154,001,NCE,2026-04-15
25719,N,216059,002,NCE,2028-01-27
24756,N,211172,001,ODE-212,2025-10-05
25536,A,209348,002,PC,2023-03-06
25978,N,208082,002,PED,2024-12-24
25436,N,216974,001,NCE,2028-05-23
24334,N,204063,001,M-260,2023-02-05
25943,N,202192,004,PED,2026-06-19
24822,N,208684,003,ODE-252,2026-06-07
24064,N,021986,003,ODE-225,2025-12-21
25297,N,215498,001,I-918,2026-06-13
25617,N,212728,001,NCE,2025-02-27
24796,N,211192,001,ODE-368,2028-08-25
25916,N,204114,003,PED,2025-10-30
25261,N,213217,001,ODE-370,2028-09-14
24900,N,207925,003,ODE-199,2025-08-15
24183,N,022387,001,I-856,2024-03-31
25701,N,213491,001,ODE*,2024-12-22
24731,N,206709,002,ODE-198,2025-08-20
25722,N,217639,001,NCE,2028-01-27
24259,N,204671,002,ODE*,2024-04-07
25622,N,213871,002,NCE,2027-01-14
25584,N,214665,002,NCE,2026-05-28
25035,N,211996,001,ODE-237,2026-05-03
24136,N,021880,003,ODE-131,2024-02-22
24948,N,210868,002,NCE,2023-11-02
24346,N,204114,002,I-895,2025-06-22
26020,N,212102,001,PED,2025-09-25
25813,N,021986,006,PED,2025-05-09
24650,N,208772,003,I-847,2023-05-22
25447,N,212123,001,NCE,2025-05-28
24939,N,211155,002,ODE-208,2025-09-24
24151,N,022200,001,NPP,2024-07-22
25547,N,216403,002,ODE-389,2030-02-17
24902,N,207925,003,ODE-338,2027-12-21
24093,N,021248,002,ODE-167,2025-01-12
25555,N,212862,001,ODE-253,2026-08-14
24816,N,208030,001,ODE-419,2028-04-30
25821,N,021995,001,PED,2024-06-04
24954,N,210365,001,NCE,2023-09-28
24576,N,208558,002,ODE-181,2024-08-17
25805,N,212477,002,ODE-263,2026-08-28
24703,N,210563,002,ODE*,2024-08-02
