id,appl_type,appl_no,product_no,patent_no,patent_expire_date,drug_substance_flag,drug_product_flag,patent_use_code,delist_flag
226158,N,202192,004,8822481,2028-06-12,,,U-3226,
223827,N,209816,001,10124014,2029-03-05,,,U-2449,
226309,N,209311,005,11241391,2032-03-23,,,U-2357,
228469,N,202788,007,9642844,2027-01-25,,Y,,
219080,N,020866,001,9522117,2032-04-30,,Y,U-1939,
233129,N,203094,001,8148374*PED,2030-03-03,,,,
224309,N,205552,001,10751342,2031-06-03,,,U-2943,
219629,N,209184,001,8586093,2023-03-19,,,U-2484,
224839,N,210854,001,10633397,2036-04-27,,,U-2816,
227444,N,022161,001,RE47301,2027-02-02,,Y,,
218562,N,022165,001,8097651,2026-06-16,Y,Y,U-436,
230314,N,022272,006,9770416,2027-08-24,,Y,,
220485,N,205677,001,10376487,2035-07-27,,,U-2615,
226914,N,020800,001,7297136,2025-01-18,,Y,,
222586,N,210496,002,10258622,2032-11-21,,,U-2802,
217936,N,202806,001,8835443,2025-06-10,,,U-2298,
220526,N,203496,004,8747897,2031-08-11,,Y,U-2725,
217422,N,208341,001,8921341,2032-11-16,Y,Y,U-1470,
233062,N,200603,002,9907794*PED,2026-11-26,,,,
226298,N,216196,003,9980961,2032-05-03,,,U-3319,
219734,N,207202,006,8847766,2030-03-29,,Y,U-2167,
216311,N,022011,001,7589079,2023-09-11,Y,Y,U-999,
231033,N,202344,001,9592195,2031-12-05,,Y,,
228486,N,215875,002,10653646,2039-03-21,,Y,,
230961,N,206321,001,8920383,2026-07-17,,Y,,
230078,N,203255,005,7759308,2026-10-25,,Y,,
217732,N,207202,006,9387182,2023-12-25,,,U-1529,
225182,N,208623,001,10849890,2038-05-30,,,U-2371,
231009,N,200603,003,8729085,2026-05-26,,Y,,
230672,N,208799,005,9216260,2031-06-28,,Y,,
224679,N,207620,003,11058667,2036-05-09,,,U-3170,
221822,N,203922,001,9687506,2030-02-10,,Y,U-3395,
223737,N,217660,001,8324242,2027-08-05,,,U-3589,
218251,N,205410,001,8987262,2028-10-16,,,U-1988,
234351,N,208658,002,7713938*PED,2027-10-15,,,,
233296,N,204026,002,8828427*PED,2031-12-21,,,,
233572,N,209195,001,11116783*PED,2034-07-30,,,,
232334,N,212801,001,8314097,2029-03-27,Y,Y,,
220208,N,202971,003,10525057,2034-03-08,,,U-543,
231016,N,209637,003,11311679,2026-01-20,,Y,,
220776,N,208010,001,9925147,2028-04-25,,Y,U-2257,
225115,N,200603,003,9815827,2024-02-20,,,U-543,
226340,N,207925,002,11147770,2033-02-27,,Y,U-3339,
221850,N,206089,001,11564933,2039-04-12,,,U-1103,
218166,N,208558,002,8143241,2027-08-12,,,U-2482,
226742,N,201280,001,7407955,2025-05-02,Y,Y,,
232717,N,021223,002,8324189*PED,2025-11-29,,,,
219079,N,208780,003,8609701,2029-04-22,,,U-2065,
218360,N,208692,002,8497284,2024-09-24,,,U-1220,
230029,N,022309,003,8759329,2026-10-12,,Y,,
216418,N,204168,002,8481598,2031-03-02,,,U-839,
220663,N,050808,005,8268804,2025-06-24,,,U-1078,
232184,N,205777,003,8846091,2023-04-04,,Y,,
234181,N,208798,002,9463288*PED,2025-11-19,,,,
228214,N,208313,007,9241948,2033-07-01,,Y,,
229894,N,211913,004,9700535,2035-08-04,,Y,,
231307,N,208799,003,10561808,2032-01-01,,Y,,
225749,N,202192,001,7598257,2027-12-24,Y,Y,U-3228,
222343,N,209363,001,11602522,2035-09-04,,Y,U-3302,
231899,N,022272,003,11304908,2027-08-24,,Y,,
219948,N,210951,001,8445507,2030-09-15,Y,Y,U-2624,
229246,N,201292,002,RE43431,2026-01-13,Y,,,
226758,N,022108,003,7662407,2026-06-27,,Y,,
217994,N,208686,001,9808442,2036-03-25,,,U-185,
219385,N,204275,001,7439393,2025-05-21,Y,Y,U-1691,
218139,N,204114,003,8703781,2030-10-15,Y,Y,U-2037,
226460,N,213006,001,8653260,2029-04-02,Y,,,
226478,N,208082,002,11666566,2033-09-18,,Y,,
218869,N,206940,002,9205076,2025-03-14,,,U-1709,
225637,N,209363,001,11684607,2035-09-16,,Y,U-3270,
229036,N,215973,001,10071985,2037-08-17,Y,Y,,
220488,N,211150,002,8486947,2029-09-26,,,U-1101,
225948,N,209500,002,11690842,2039-08-30,,Y,U-3362,
233114,N,206321,001,7762994*PED,2024-11-23,,,,
224749,N,208341,001,8618076,2030-12-11,Y,Y,U-1470,
220107,N,202057,001,8703185,2030-04-29,,,U-2691,
230503,N,214755,004,10973795,2037-07-21,,Y,,
228570,N,204822,001,8754123,2029-05-19,,Y,,
223795,N,211710,001,9676783,2029-10-21,,,U-2469,
233901,N,208510,003,7105486*PED,2023-08-24,,,,
219303,N,205437,002,9724330,2023-03-19,,,U-1561,
217309,N,022264,002,9439906,2031-01-26,,,U-1901,
219789,N,208623,001,10251873,2038-05-30,,,U-2371,
219823,N,204370,001,7737142,2029-09-17,Y,Y,U-2543,
227787,N,208470,001,8268806,2031-03-19,,Y,,
225423,N,214801,001,9108973,2033-02-23,Y,Y,U-3456,
232780,N,021453,002,7135465*PED,2023-08-18,,,,
224189,N,021301,002,7101569,2023-10-02,,,U-759,
231326,N,211225,001,8835430,2023-01-31,Y,Y,,
222491,N,203565,004,11433091,2027-01-08,,,U-3436,
229353,N,022314,002,8101599,2023-05-16,,Y,,
217364,N,022081,002,9474752,2027-12-11,,,U-1754,
231129,N,203752,004,9833419,2028-07-10,,Y,,
231240,N,021936,002,7837235,2028-03-13,,Y,,
228746,N,022360,001,8940772,2029-04-30,,Y,,
216570,N,021060,001,8765680,2024-10-01,,,U-55,
232270,N,204629,002,7713938,2027-04-15,Y,Y,,
228908,N,204824,001,11446441,2026-01-24,,Y,,
224026,N,212161,001,9770441,2035-08-31,Y,Y,U-2524,
226133,N,208716,001,7855211,2029-12-15,Y,Y,U-3243,
227733,N,207202,002,8545402,2030-04-27,,Y,,
229012,N,202880,003,10322120,2033-07-25,,Y,,
226122,N,208692,002,11098015,2030-01-15,,,U-3225,
221244,N,214012,001,10851377,2036-08-25,,,U-3652,
232690,N,021035,001,8802142*PED,2031-12-07,,,,
217003,N,050444,001,9084802,2031-05-12,,,U-282,
233151,N,205834,002,9284342*PED,2031-03-13,,,,
232419,N,020845,003,9265911*PED,2031-07-06,,,,
234399,N,216354,001,11446291*PED,2036-09-07,,,,
227394,N,208171,003,10414831,2029-03-25,Y,Y,,
227470,N,206627,007,9872837,2031-12-21,,Y,,
217474,N,203858,003,9364470,2025-03-07,,,U-1851,
230130,N,020533,007,8162915,2024-05-23,,Y,,
219707,N,202429,001,8470818,2026-08-02,,,U-1418,
229365,N,021947,002,8119158,2024-12-30,,Y,,
223372,N,207202,002,8956288,2029-07-06,,Y,U-2167,
224049,N,208573,001,9539251,2033-09-06,,,U-2538,
229853,N,205108,001,11013703,2034-04-01,,Y,,
225140,N,022272,006,11304909,2027-08-24,,,U-1556,
219186,N,208510,004,7671031,2023-02-24,,,U-727,
217706,N,210563,004,8703780,2026-12-28,,,U-1491,
227788,N,209531,001,7838657,2027-07-11,Y,,,
232879,N,022249,002,8791270*PED,2026-07-12,,,,
234367,N,212480,002,8633309*PED,2029-09-26,,,,
232272,N,202834,005,8772497,2026-07-01,Y,,,
225113,N,206038,001,8846718,2029-07-02,,,U-1908,
230410,N,208798,008,9731087,2031-05-18,,Y,,
