id,property_type_id,property_type_symbol,struct_id,value,reference_id,reference_type,source
2109,4,EoM,2856,65.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
8712,2,BDDCS,971,1.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
6367,8,Vd,1808,4.51,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
4452,6,t_half,1469,1.3,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
4519,6,t_half,1827,1.3,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
5386,3,CL,836,6.67,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
258,9,S,427,0.1,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
2243,2,BDDCS,4380,3.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
5789,6,t_half,1232,1.3,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
8188,9,S,542,100.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
7635,5,fu,4061,0.9,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7254,3,CL,2698,2.37,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
8927,2,BDDCS,5286,2.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
1971,2,BDDCS,2705,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
2018,4,EoM,2750,62.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
7744,8,Vd,4183,19.4,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
2184,9,S,4072,333.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
7809,6,t_half,4334,30.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
7087,6,t_half,2546,2.1,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
3505,1,BA,2808,87.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
1146,4,EoM,1567,0.5,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
632,4,EoM,842,0.19,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
1091,4,EoM,1517,5.6,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
4346,1,BA,2758,40.0,2900,JOURNAL ARTICLE,kim2014_mapping.tsv
6540,6,t_half,1947,8.2,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
8170,9,S,351,0.058,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
7183,8,Vd,2638,1.6,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
5271,6,t_half,722,10.0,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
5080,8,Vd,557,0.17,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
1661,2,BDDCS,2328,1.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
1770,2,BDDCS,2422,2.0,2897,JOURNAL ARTICLE,benet2009_mapping.tsv
6130,8,Vd,1572,1.5,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
8757,2,BDDCS,1689,1.0,3562,JOURNAL ARTICLE,bocci2022_mapping.tsv
6323,6,t_half,1790,7.1,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
5603,5,fu,1030,0.25,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
4718,6,t_half,166,0.83,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
5070,5,fu,552,0.03,2901,JOURNAL ARTICLE,lombardo2018_mapping.tsv
3259,7,MRTD,3862,0.3328000009,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
2912,7,MRTD,1889,0.627440691,2898,JOURNAL ARTICLE,contrera2004_mapping.tsv
